Name,Phone,Email,Salesperson,Stage
Erik Morris,+11660191342,ebennett@yahoo.com,Simran,Closed
Cynthia Velez,+919805062012,cwhitney@stevens.info,Raj,Follow-up
Andrew Forbes,+11374317369,jeremiah71@gmail.com,Simran,Closed
Jacob Thompson,7118478154,daniel41@hotmail.com,Priya,Interested
Karen Jones,+11746630702,dennishayley@boone-stevens.com,John,Closed
Daniel Bryant,+11763076879,carolynvillarreal@hotmail.com,Amit,Interested
Mr. David Leblanc,91925052194,tarnold@turner-smith.com,Amit,Closed
Lisa Nelson,+918872137210,amy38@hotmail.com,Simran,Demo
Dylan Jones,28774319574,mvalenzuela@williams.org,Simran,Interested
Kenneth Clark,+11497246910,nicolas20@lee-davis.info,Priya,Demo
Eric Barnes Jr.,+918162390215,fschultz@cervantes.com,Raj,Follow-up
Annette Smith, 8099145269,fieldsphyllis@kennedy.com,Raj,Interested
Ashley Santiago,91926839603,howellbethany@mendoza.com,Simran,Closed
Brandon Smith,+919585664947,jessicahansen@parrish.net,Priya,Interested
Stephanie Horne,91997845192,allenbates@rose.com,Priya,Follow-up
Paul Perez,+918161089499,edwardjuarez@mccoy.info,Simran,Closed
Jennifer Krueger,+919439336788,melissa97@yahoo.com,John,Interested
Gregory Alexander,91980051745,kmoore@edwards-bentley.org,John,Interested
Robert Kelly,+11661955742,qmelendez@day.com,John,Interested
Ryan Aguilar,91915230590,mathewcastillo@doyle.com,Priya,Interested
Barbara Harding, 8163463704,emily75@hotmail.com,John,Closed
Laurie Holmes,21885302110,tpope@gmail.com,Raj,Follow-up
Kevin Larsen,+918325590255,clayrobin@webb.com,Raj,Interested
John Farmer,91299817551,davidlee@baker.info,Simran,Follow-up
Savannah Wood,+11511567084,norma76@powell-lloyd.biz,Raj,Closed
Brittany Figueroa,+919844054484,rbentley@hotmail.com,John,Follow-up
Lee Howell,15890283756,stephenparker@hotmail.com,Raj,Follow-up
Matthew Russell,+919099945369,david25@yahoo.com,John,Interested
Kevin Richardson,+917790335367,smithandrew@garza.info,Amit,Demo
Shaun Sims,+11288986096,fcook@alvarez.com,Priya,Follow-up
Thomas Bell,+917694435108,sandovalbob@hotmail.com,Simran,Follow-up
Amy Watson,91819436553,thomas84@hughes.com,Simran,Closed
Julia Vazquez,+917883503226,johnmartinez@mclean-palmer.org,John,Demo
David Bell,91799206110,kperry@gmail.com,Amit,Interested
Tiffany Rice,+917752294171,dthomas@myers.com,Amit,Demo
Tammy Smith, 7409980488,dawn40@dixon.com,Raj,Demo
James Gonzalez,91870490512,kevinnelson@hotmail.com,John,Closed
Robert Strickland,+11485046231,samantha39@yahoo.com,John,Demo
Brandon Hall,+11547999268,anthonylloyd@gmail.com,Simran,Demo
Sheila Wood, 7408193935,kenneth48@hotmail.com,John,Closed
Jill Hoover,91704045339,william72@hotmail.com,John,Interested
Amanda Mcclure,13070575153,haynestheresa@black.com,Simran,Follow-up
John Moore,9504903524,ronald97@hotmail.com,Raj,Interested
Robin Yu,+11165296340,hinesjacqueline@campbell.net,Simran,Demo
Robert Anderson,91954690807,msanchez@hotmail.com,Priya,Interested
Logan Carter,7603889251,xwells@king.net,Priya,Closed
Kyle Gonzales,+918745499032,robert42@norton-vega.com,Priya,Demo
Cole Brown, 9284476495,wyattwalker@taylor.biz,Amit,Demo
Patrick Gomez,91795379241,hernandezheather@gmail.com,Raj,Follow-up
Sean Simmons,91747300160,fhanson@gmail.com,Amit,Demo
Stephen Reynolds, 9743087997,martinezjose@wells.com,John,Demo
Amy Fitzpatrick,72441782089,lisaturner@byrd-murphy.com,Simran,Interested
Shane Lambert, 9282570841,brittany49@yahoo.com,John,Follow-up
Raymond Ibarra,91704073376,jessica23@gmail.com,Simran,Closed
Dr. Jill Mitchell MD,54458287294,nmckenzie@thompson.com,Amit,Interested
Brandon Tucker DDS,+919645855569,tiffany30@griffith.biz,Raj,Follow-up
Alexander Alvarez,91782239541,ronaldmyers@velez-johnson.biz,John,Closed
Philip Mcdaniel,8572698961,stephaniewalker@hansen-davis.com,Raj,Closed
Jason Gibson,9299496746,janicelam@yahoo.com,Amit,Follow-up
Paula Martinez,+11013488780,danielsmith@yahoo.com,Raj,Interested
